0.765194,	LARM_LINK3,	0.608167,	-0.902155,	0.787081,	0.769234,	-0.548320,	0.128006
0.066133,	LARM_LINK3,	0.645322,	-0.882283,	0.897762,	0.684081,	-0.829742,	0.887241
0.184613,	LARM_LINK4,	0.616367,	-0.886171,	0.762636,	0.722380,	-0.736197,	0.743898
0.119875,	LARM_LINK4,	0.597127,	-0.893729,	0.693976,	0.667678,	-0.804451,	0.656264
0.295351,	LARM_LINK4,	0.566348,	-0.897929,	0.671025,	0.569263,	-0.701292,	0.450667
0.570264,	LARM_LINK4,	0.573967,	-0.914825,	0.661516,	0.661288,	-0.716300,	0.134104
0.797966,	LARM_LINK4,	0.596615,	-0.880035,	0.784699,	0.758512,	-0.139736,	1.034689
0.840881,	LARM_LINK4,	0.592317,	-0.879312,	0.784771,	0.694970,	-0.087769,	1.049350
0.922525,	LARM_LINK4,	0.589373,	-0.879427,	0.785955,	0.650938,	-0.013018,	1.096757
0.943824,	LARM_LINK4,	0.585901,	-0.879074,	0.785306,	0.587263,	0.013606,	1.091776
0.945590,	LARM_LINK4,	0.590746,	-0.879868,	0.786834,	0.678254,	0.000358,	1.121026
1.002944,	LARM_LINK4,	0.589534,	-0.880114,	0.787735,	0.659494,	0.048872,	1.159204
0.954778,	LARM_LINK4,	0.589578,	-0.879947,	0.787305,	0.656964,	0.007414,	1.133211
0.303471,	LARM_LINK4,	0.614804,	-0.884948,	0.764160,	0.780150,	-0.631440,	0.742051
0.383821,	LARM_LINK4,	0.607138,	-0.885973,	0.740825,	0.798432,	-0.565314,	0.651928
0.456577,	LARM_LINK4,	0.575280,	-0.889560,	0.682024,	0.656461,	-0.513739,	0.435791
0.673398,	LARM_LINK4,	0.578946,	-0.904890,	0.667727,	0.745093,	-0.544688,	0.123563
0.097281,	LARM_LINK4,	0.618665,	-0.890421,	0.783289,	0.678731,	-0.819165,	0.811187
0.182922,	l_wrist,	0.608119,	-0.877637,	0.680607,	0.722066,	-0.734638,	0.685898
0.095194,	l_wrist,	0.607505,	-0.878689,	0.666795,	0.665827,	-0.805942,	0.647600
