0.426350,	LARM_LINK3,	0.616029,	-0.895043,	0.800897,	0.821447,	-0.538793,	0.688362
0.546165,	LARM_LINK3,	0.600809,	-0.889792,	0.796171,	0.627426,	-0.469254,	0.448700
0.769517,	LARM_LINK3,	0.613501,	-0.896095,	0.792949,	0.775406,	-0.530152,	0.135660
0.124804,	LARM_LINK3,	0.640185,	-0.878639,	0.901372,	0.705595,	-0.772350,	0.901601
0.212105,	LARM_LINK4,	0.596490,	-0.879413,	0.774385,	0.696897,	-0.694567,	0.747202
0.137503,	LARM_LINK4,	0.597780,	-0.896794,	0.701346,	0.680920,	-0.790585,	0.674614
0.325503,	LARM_LINK4,	0.573151,	-0.891211,	0.680251,	0.519739,	-0.667650,	0.449774
0.583531,	LARM_LINK4,	0.588620,	-0.904094,	0.672816,	0.688335,	-0.699084,	0.135660
0.801523,	LARM_LINK4,	0.597871,	-0.880420,	0.778929,	0.764840,	-0.139787,	1.035880
0.849888,	LARM_LINK4,	0.597871,	-0.880420,	0.778929,	0.721160,	-0.083605,	1.047623
0.925389,	LARM_LINK4,	0.597871,	-0.880420,	0.778929,	0.649768,	-0.012543,	1.095855
0.947612,	LARM_LINK4,	0.597871,	-0.880420,	0.778929,	0.590495,	0.012859,	1.095105
0.948998,	LARM_LINK4,	0.597871,	-0.880420,	0.778929,	0.681290,	0.000429,	1.122067
1.018103,	LARM_LINK4,	0.597871,	-0.880420,	0.778929,	0.678573,	0.054853,	1.172992
0.957966,	LARM_LINK4,	0.597871,	-0.880420,	0.778929,	0.653687,	0.008579,	1.131440
0.332074,	LARM_LINK4,	0.599041,	-0.880388,	0.777175,	0.753194,	-0.587462,	0.750642
0.412339,	LARM_LINK4,	0.576314,	-0.887659,	0.687270,	0.736834,	-0.531393,	0.555622
0.483509,	LARM_LINK4,	0.570340,	-0.887472,	0.684530,	0.627426,	-0.469254,	0.448700
0.680178,	LARM_LINK4,	0.584687,	-0.900129,	0.673693,	0.766700,	-0.525917,	0.135660
0.159071,	LARM_LINK4,	0.607220,	-0.885436,	0.780014,	0.685891,	-0.757548,	0.832542
0.230786,	l_wrist,	0.583906,	-0.895801,	0.728247,	0.696897,	-0.694567,	0.728912
0.143418,	l_wrist,	0.586473,	-0.902305,	0.667913,	0.665250,	-0.783549,	0.651787
0.271337,	l_wrist,	0.540635,	-0.893272,	0.600432,	0.521191,	-0.675159,	0.440206
0.521728,	l_wrist,	0.548761,	-0.896203,	0.599461,	0.668470,	-0.689422,	0.135660
0.764545,	l_wrist,	0.583906,	-0.895801,	0.728247,	0.824869,	-0.225317,	1.005588
0.835517,	l_wrist,	0.574928,	-0.890927,	0.723132,	0.764840,	-0.139787,	1.035880
0.882296,	l_wrist,	0.574928,	-0.890927,	0.723132,	0.721160,	-0.083605,	1.047623
0.957064,	l_wrist,	0.573952,	-0.891195,	0.724111,	0.649768,	-0.012543,	1.095855
0.977356,	l_wrist,	0.573952,	-0.891195,	0.724111,	0.590495,	0.012859,	1.095105
0.982286,	l_wrist,	0.573952,	-0.891195,	0.724111,	0.681290,	0.000429,	1.122067
1.051974,	l_wrist,	0.573952,	-0.891195,	0.724111,	0.657146,	0.058790,	1.168246
0.990893,	l_wrist,	0.573952,	-0.891195,	0.724111,	0.653687,	0.008579,	1.131440
0.351754,	l_wrist,	0.583906,	-0.895801,	0.728247,	0.753194,	-0.587462,	0.728247
0.410459,	l_wrist,	0.549958,	-0.891144,	0.619988,	0.735416,	-0.531178,	0.552854
0.456091,	l_wrist,	0.543493,	-0.893709,	0.599987,	0.634996,	-0.484077,	0.421527
0.631552,	l_wrist,	0.548761,	-0.896203,	0.599461,	0.751576,	-0.518561,	0.135660
0.199681,	l_wrist,	0.585627,	-0.896976,	0.728439,	0.679718,	-0.744755,	0.817028
0.260582,	LARM_LINK6,	0.557522,	-0.902715,	0.589907,	0.709315,	-0.700496,	0.652912
0.147550,	LARM_LINK6,	0.552476,	-0.893835,	0.567151,	0.626728,	-0.766382,	0.563500
0.251632,	LARM_LINK6,	0.550787,	-0.895482,	0.558272,	0.522771,	-0.677987,	0.434863
0.483811,	LARM_LINK6,	0.547855,	-0.899208,	0.554605,	0.668470,	-0.689422,	0.135660
0.828659,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.824869,	-0.225317,	1.005588
0.897062,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.764840,	-0.139787,	1.035880
0.941609,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.721160,	-0.083605,	1.047623
1.015582,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.624981,	-0.006508,	1.088371
1.033800,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.590495,	0.012859,	1.095105
1.043149,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.673575,	0.002550,	1.119934
1.113562,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.657146,	0.058790,	1.168246
1.051717,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.653687,	0.008579,	1.131440
0.375999,	LARM_LINK6,	0.551856,	-0.895676,	0.580672,	0.765458,	-0.593705,	0.648222
0.403954,	LARM_LINK6,	0.552166,	-0.893919,	0.562569,	0.732056,	-0.534064,	0.526203
0.441097,	LARM_LINK6,	0.551574,	-0.894556,	0.560253,	0.638723,	-0.488482,	0.411675
0.600559,	LARM_LINK6,	0.549419,	-0.897184,	0.556068,	0.746162,	-0.529692,	0.123735
0.280802,	LARM_LINK6,	0.547185,	-0.905051,	0.621492,	0.679294,	-0.718910,	0.785042
0.281539,	LHAND_LINK0,	0.551226,	-0.911673,	0.554206,	0.710485,	-0.698091,	0.645222
0.280564,	LHAND_LINK0,	0.555978,	-0.915160,	0.553949,	0.722345,	-0.704435,	0.635394
0.161504,	LHAND_LINK0,	0.538214,	-0.902084,	0.553097,	0.619488,	-0.762577,	0.549101
0.244952,	LHAND_LINK0,	0.529330,	-0.905279,	0.529058,	0.528836,	-0.688846,	0.414349
0.467382,	LHAND_LINK0,	0.526571,	-0.927717,	0.511860,	0.668470,	-0.689422,	0.135660
0.795205,	LHAND_LINK0,	0.555481,	-0.915952,	0.555499,	0.910180,	-0.477674,	1.116260
0.861610,	LHAND_LINK0,	0.538258,	-0.902157,	0.554907,	0.827614,	-0.218082,	0.991584
0.929389,	LHAND_LINK0,	0.537761,	-0.902949,	0.556457,	0.766441,	-0.136042,	1.029029
0.972684,	LHAND_LINK0,	0.537761,	-0.902949,	0.556457,	0.719995,	-0.083048,	1.047037
1.045769,	LHAND_LINK0,	0.537761,	-0.902949,	0.556457,	0.613961,	-0.003825,	1.085044
1.063779,	LHAND_LINK0,	0.537761,	-0.902949,	0.556457,	0.590495,	0.012859,	1.095105
1.075119,	LHAND_LINK0,	0.537761,	-0.902949,	0.556457,	0.673575,	0.002550,	1.119934
1.146072,	LHAND_LINK0,	0.537761,	-0.902949,	0.556457,	0.657146,	0.058790,	1.168246
1.083941,	LHAND_LINK0,	0.537761,	-0.902949,	0.556457,	0.653687,	0.008579,	1.131440
0.394297,	LHAND_LINK0,	0.538258,	-0.902157,	0.554907,	0.765458,	-0.593705,	0.648222
0.398675,	LHAND_LINK0,	0.539178,	-0.902832,	0.554858,	0.772362,	-0.591491,	0.642226
0.416773,	LHAND_LINK0,	0.538214,	-0.902084,	0.553097,	0.726627,	-0.531286,	0.526469
0.445552,	LHAND_LINK0,	0.531979,	-0.905115,	0.530372,	0.646382,	-0.497533,	0.391431
0.593390,	LHAND_LINK0,	0.531979,	-0.905115,	0.530372,	0.745833,	-0.530369,	0.123010
0.324443,	LHAND_LINK0,	0.542513,	-0.906436,	0.556200,	0.697736,	-0.714825,	0.767042
0.258014,	LHAND_LINK1,	0.533097,	-0.899886,	0.566408,	0.521191,	-0.675159,	0.440206
0.299718,	LHAND_LINK2,	0.531753,	-0.940579,	0.627164,	0.709315,	-0.700496,	0.652912
0.200842,	LHAND_LINK2,	0.525050,	-0.935661,	0.627527,	0.639535,	-0.771737,	0.608566
0.315869,	LHAND_LINK2,	0.521171,	-0.939845,	0.612584,	0.521191,	-0.675159,	0.440206
0.549626,	LHAND_LINK2,	0.493340,	-0.974749,	0.571557,	0.668470,	-0.689422,	0.135660
0.858482,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.824869,	-0.225317,	1.005588
0.925789,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.764840,	-0.139787,	1.035880
0.969720,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.721160,	-0.083605,	1.047623
1.041389,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.614886,	-0.004050,	1.085323
1.058968,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.590495,	0.012859,	1.095105
1.069314,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.673575,	0.002550,	1.119934
1.138846,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.657146,	0.058790,	1.168246
1.077276,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.653687,	0.008579,	1.131440
0.418381,	LHAND_LINK2,	0.525050,	-0.935661,	0.627527,	0.768048,	-0.595788,	0.649462
0.461398,	LHAND_LINK2,	0.524270,	-0.936118,	0.619297,	0.731229,	-0.530546,	0.544679
0.505682,	LHAND_LINK2,	0.524270,	-0.936118,	0.619297,	0.634995,	-0.484077,	0.421527
0.676619,	LHAND_LINK2,	0.521171,	-0.939845,	0.612584,	0.747008,	-0.527953,	0.125598
0.306921,	LHAND_LINK2,	0.523304,	-0.938596,	0.635069,	0.668797,	-0.732202,	0.809522
0.348568,	LHAND_LINK3,	0.507678,	-0.968231,	0.557200,	0.709315,	-0.700496,	0.652912
0.348727,	LHAND_LINK3,	0.515959,	-0.974325,	0.556817,	0.722345,	-0.704435,	0.635394
0.232417,	LHAND_LINK3,	0.494532,	-0.958584,	0.557911,	0.612748,	-0.758582,	0.551458
0.298126,	LHAND_LINK3,	0.486085,	-0.961170,	0.528641,	0.530871,	-0.692489,	0.407467
0.508733,	LHAND_LINK3,	0.501309,	-0.973840,	0.522923,	0.668470,	-0.689422,	0.135660
0.842938,	LHAND_LINK3,	0.506749,	-0.983899,	0.576330,	0.910180,	-0.477674,	1.116260
0.920214,	LHAND_LINK3,	0.494310,	-0.958982,	0.559197,	0.825251,	-0.224310,	1.003639
0.985644,	LHAND_LINK3,	0.494310,	-0.958982,	0.559197,	0.764840,	-0.139787,	1.035880
1.027707,	LHAND_LINK3,	0.494310,	-0.958982,	0.559197,	0.719995,	-0.083048,	1.047037
1.096884,	LHAND_LINK3,	0.494310,	-0.958982,	0.559197,	0.613961,	-0.003825,	1.085044
1.113968,	LHAND_LINK3,	0.494310,	-0.958982,	0.559197,	0.590495,	0.012859,	1.095105
1.127434,	LHAND_LINK3,	0.494310,	-0.958982,	0.559197,	0.673575,	0.002550,	1.119934
1.197212,	LHAND_LINK3,	0.494310,	-0.958982,	0.559197,	0.657146,	0.058790,	1.168246
1.135358,	LHAND_LINK3,	0.494310,	-0.958982,	0.559197,	0.653687,	0.008579,	1.131440
0.463351,	LHAND_LINK3,	0.494532,	-0.958584,	0.557911,	0.765458,	-0.593705,	0.648222
